borough,trip_count,avg_duration_min
Lachine,36817,31.880844522005237
Rivière-des-Prairies - Pointe-aux-Trembles,6277,30.715598104189898
Terrebonne,1177,29.708916100254882
Sainte-Julie,612,27.710380718954248
Boucherville,3240,27.364022988683125
Montréal-Est,1988,24.636645271629778
LaSalle,54115,24.332795115032802
Montréal-Nord,15721,24.072320774759877
Laval,28849,21.37648587357159
Saint-Léonard,27105,21.304218227879236
Longueuil,49661,20.26665306310116
Saint-Laurent,40950,19.650552242979245
Anjou,11040,19.02416596316425
Ahuntsic-Cartierville,186468,17.95055339262858
Mont-Royal,29736,17.51212453647655
Côte-des-Neiges - Notre-Dame-de-Grâce,487907,15.925692781001299
Verdun,293950,15.524456887452516
Villeray—Saint-Michel—Parc-Extension,648574,14.832331593644929
Le Sud-Ouest,942566,14.618904700696469
Ville-Marie,3242874,14.497089562427238
Mercier - Hochelaga-Maisonneuve,516913,14.422210127848722
Westmount,102557,14.420234656174939
Rosemont - La Petite-Patrie,1624708,14.041423913825337
Outremont,208000,13.739351704647435
Le Plateau-Mont-Royal,4410970,11.822520722131413
