date,hour,trip_count,avg_duration_min
2024-01-01,5,74,17.423144144144146
2024-01-01,6,122,20.416603415300546
2024-01-01,7,145,19.09609632183908
2024-01-01,8,121,16.149840220385673
2024-01-01,9,67,17.229025870646765
2024-01-01,10,37,15.218726126126125
2024-01-01,11,28,16.358991071428573
2024-01-01,12,18,12.002627777777779
2024-01-01,13,22,14.89250606060606
2024-01-01,14,29,19.961385057471265
2024-01-01,15,33,16.849352020202023
2024-01-01,16,58,20.20192643678161
2024-01-01,17,62,16.561413978494624
2024-01-01,18,83,20.823799799196788
2024-01-01,19,100,23.716597333333333
2024-01-01,20,97,19.145678006872853
2024-01-01,21,66,14.690008333333333
2024-01-01,22,95,17.32962052631579
2024-01-01,23,53,19.349985220125784
2024-01-02,0,54,18.126650308641974
2024-01-02,1,37,17.697298198198197
2024-01-02,2,37,12.006124324324324
2024-01-02,3,28,14.710678571428572
2024-01-02,4,24,11.385
2024-01-02,5,14,8.65945
2024-01-02,6,8,11.846118749999999
2024-01-02,7,4,10.158379166666666
2024-01-02,8,5,17.40455
2024-01-02,9,4,11.416337500000001
2024-01-02,10,7,8.926730952380952
2024-01-02,11,19,14.79662456140351
2024-01-02,12,55,12.90307787878788
2024-01-02,13,117,12.874780484330483
2024-01-02,14,69,11.25664927536232
2024-01-02,15,63,11.79267619047619
2024-01-02,16,102,14.818184967320262
2024-01-02,17,100,13.857976666666666
2024-01-02,18,144,13.786039004629629
2024-01-02,19,136,14.564736642156863
2024-01-02,20,163,16.13293445807771
2024-01-02,21,164,15.475037601626017
2024-01-02,22,223,14.312119133034379
2024-01-02,23,137,15.036827493917276
2024-01-03,0,105,13.656682222222223
2024-01-03,1,96,15.826357465277779
2024-01-03,2,82,12.930402439024391
2024-01-03,3,58,13.498761206896551
2024-01-03,4,39,14.49541111111111
2024-01-03,5,20,11.575699166666666
2024-01-03,6,26,13.624969871794873
2024-01-03,7,10,14.875691666666665
2024-01-03,8,11,11.314527272727274
2024-01-03,9,6,14.834647222222223
2024-01-03,10,15,11.940201111111111
2024-01-03,11,44,14.75295
2024-01-03,12,104,13.886995512820514
2024-01-03,13,179,14.198080167597764
2024-01-03,14,132,13.466679545454545
2024-01-03,15,100,17.181529666666666
2024-01-03,16,111,13.372773423423425
2024-01-03,17,160,14.097401354166667
2024-01-03,18,148,14.542521846846848
2024-01-03,19,138,15.450173792270531
2024-01-03,20,171,15.833163450292398
2024-01-03,21,254,13.552648490813647
2024-01-03,22,300,15.096573000000001
2024-01-03,23,218,12.86073256880734
2024-01-04,0,156,13.101686965811966
2024-01-04,1,118,14.00096638418079
2024-01-04,2,100,12.240456166666668
2024-01-04,3,63,13.773309523809525
2024-01-04,4,51,11.182559803921569
2024-01-04,5,37,10.609964414414414
2024-01-04,6,20,17.238753333333335
2024-01-04,7,15,14.128128888888888
2024-01-04,8,2,8.9573
2024-01-04,9,5,8.126836666666666
2024-01-04,10,15,12.192309999999999
2024-01-04,11,42,13.42186507936508
2024-01-04,12,101,14.21573795379538
2024-01-04,13,172,14.129370833333333
2024-01-04,14,127,12.32081719160105
2024-01-04,15,95,13.430150350877193
2024-01-04,16,108,15.57785462962963
2024-01-04,17,139,14.047635011990405
2024-01-04,18,137,16.373625669099756
2024-01-04,19,139,13.960084772182254
2024-01-04,20,139,15.007593285371703
2024-01-04,21,210,14.844158253968255
2024-01-04,22,230,14.84530347826087
2024-01-04,23,177,13.054887947269302
2024-01-05,0,114,13.833538304093569
2024-01-05,1,80,14.293116041666668
2024-01-05,2,55,13.834534242424244
2024-01-05,3,49,12.687888435374148
2024-01-05,4,42,10.267907936507935
2024-01-05,5,20,9.455671666666666
2024-01-05,6,15,11.296192222222222
2024-01-05,7,19,13.479772807017543
2024-01-05,8,5,17.465773333333335
2024-01-05,9,3,14.870144444444444
2024-01-05,10,6,11.161930555555557
2024-01-05,11,37,12.846990990990989
2024-01-05,12,70,12.783908333333335
2024-01-05,13,133,12.261915162907268
2024-01-05,14,93,11.42322329749104
2024-01-05,15,75,11.490971333333334
2024-01-05,16,99,14.88029865319865
2024-01-05,17,111,13.299890090090091
2024-01-05,18,109,14.150049694189601
2024-01-05,19,137,14.724301459854015
2024-01-05,20,159,14.221888888888888
2024-01-05,21,154,16.130464393939395
2024-01-05,22,181,13.133769429097605
2024-01-05,23,150,15.971872
2024-01-06,0,95,14.899955263157896
2024-01-06,1,80,13.589543125
2024-01-06,2,71,14.427380046948358
2024-01-06,3,62,14.790211559139784
2024-01-06,4,57,13.184478362573099
2024-01-06,5,32,12.468203124999999
2024-01-06,6,35,16.744885714285715
2024-01-06,7,19,16.581477192982458
2024-01-06,8,30,15.541952222222221
2024-01-06,9,6,21.48165555555555
2024-01-06,10,11,9.8317
2024-01-06,11,16,7.9947083333333335
2024-01-06,12,23,11.455120289855072
2024-01-06,13,29,10.435849425287357
2024-01-06,14,65,9.618826666666667
2024-01-06,15,92,9.889561231884057
2024-01-06,16,109,13.191049694189603
2024-01-06,17,105,15.004629523809525
2024-01-06,18,121,15.367244077134986
2024-01-06,19,118,15.731046327683616
2024-01-06,20,138,12.272169806763285
2024-01-06,21,109,13.352602599388378
2024-01-06,22,111,15.032874924924926
2024-01-06,23,73,15.242262100456621
2024-01-07,0,54,13.578163271604938
2024-01-07,1,41,15.190043902439024
2024-01-07,2,30,12.603647777777777
2024-01-07,3,27,16.86878148148148
2024-01-07,4,30,14.607724999999999
