hour,trip_count,avg_duration_min
0,694193,13.867016580331406
1,577614,14.143264391964184
2,472909,13.82940045389282
3,374266,13.472548453907114
4,250088,13.097581862451085
5,165174,14.00942032755357
6,109515,14.471547086091707
7,84256,14.411487072137296
8,45275,13.430941521074914
9,57263,12.40295340766871
10,147593,11.566788402792364
11,403639,12.973656590129629
12,715493,12.687457752277103
13,548747,12.526441054833406
14,492093,13.358882196895031
15,582034,13.850080299575854
16,692344,13.742913713462288
17,714258,14.052271611495192
18,731887,14.623592990857878
19,833182,14.636839760940587
20,1055133,14.385802374866486
21,1265641,14.25185570946527
22,1095674,14.101027564342436
23,865875,13.997589907088207
