month,day_of_week,trip_count
1,Monday,8060
1,Tuesday,9867
1,Wednesday,11016
1,Thursday,8219
1,Friday,7211
1,Saturday,5272
1,Sunday,4075
2,Monday,8848
2,Tuesday,11897
2,Wednesday,11141
2,Thursday,12725
2,Friday,10132
2,Saturday,7955
2,Sunday,6499
3,Monday,12033
3,Tuesday,16625
3,Wednesday,16268
3,Thursday,19734
3,Friday,20824
3,Saturday,14760
3,Sunday,14495
4,Monday,123134
4,Tuesday,128859
4,Wednesday,93043
4,Thursday,80213
4,Friday,89091
4,Saturday,103595
4,Sunday,94251
5,Monday,186025
5,Tuesday,212111
5,Wednesday,253631
5,Thursday,277147
5,Friday,302813
5,Saturday,246498
5,Sunday,192388
6,Monday,221616
6,Tuesday,265406
6,Wednesday,271085
6,Thursday,259304
6,Friday,251741
6,Saturday,316218
6,Sunday,272919
7,Monday,325633
7,Tuesday,337204
7,Wednesday,304200
7,Thursday,229898
7,Friday,289002
7,Saturday,284486
7,Sunday,270908
8,Monday,200461
8,Tuesday,261329
8,Wednesday,238461
8,Thursday,345642
8,Friday,312419
8,Saturday,318708
8,Sunday,252421
9,Monday,291900
9,Tuesday,275092
9,Wednesday,276112
9,Thursday,278265
9,Friday,293572
9,Saturday,261803
9,Sunday,290128
10,Monday,158360
10,Tuesday,264093
10,Wednesday,257289
10,Thursday,283853
10,Friday,229634
10,Saturday,209761
10,Sunday,177341
11,Monday,95255
11,Tuesday,115880
11,Wednesday,127121
11,Thursday,116301
11,Friday,162524
11,Saturday,133314
11,Sunday,101250
12,Monday,20998
12,Tuesday,23350
12,Wednesday,17117
12,Thursday,16827
12,Friday,17070
12,Saturday,13433
12,Sunday,16987
