station,borough,trip_count
Métro Mont-Royal (Utilités publiques / Rivard),Le Plateau-Mont-Royal,116104
du Mont-Royal / Clark,Le Plateau-Mont-Royal,105878
Laurier / St-Denis,Le Plateau-Mont-Royal,82777
des Pins / St-Laurent,Le Plateau-Mont-Royal,77952
Marquette / du Mont-Royal,Le Plateau-Mont-Royal,77830
Métro Atwater (Atwater / Ste-Catherine),Ville-Marie,65944
Métro Peel (de Maisonneuve / Stanley),Ville-Marie,64063
Laurier / de Brébeuf,Le Plateau-Mont-Royal,61837
Émile-Duployé / Sherbrooke,Le Plateau-Mont-Royal,59316
Métro Papineau (Dorion / De Maisonneuve),Ville-Marie,58057
Métro Sherbrooke (de Rigaud / Berri),Le Plateau-Mont-Royal,56661
Berri / Rachel,Le Plateau-Mont-Royal,55729
Prince-Arthur / du Parc,Le Plateau-Mont-Royal,53853
Boyer / du Mont-Royal,Le Plateau-Mont-Royal,53704
Clark / Prince-Arthur,Le Plateau-Mont-Royal,53060
McTavish / Sherbrooke,Ville-Marie,53011
Berri / Cherrier,Le Plateau-Mont-Royal,52133
de la Commune / Place Jacques-Cartier,Ville-Marie,51663
Smith / Peel,Le Sud-Ouest,50159
de la Commune / King,Ville-Marie,49607
Duluth  / St-Denis,Le Plateau-Mont-Royal,47842
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,47608
Parc Jeanne-Mance (monument sir George-Étienne-Cartier),Le Plateau-Mont-Royal,47028
Guy / Sainte-Catherine,Ville-Marie,46272
Ste-Catherine / Union,Ville-Marie,45747
Parc Jeanne-Mance (du Mont-Royal / du Parc),Le Plateau-Mont-Royal,45375
Coloniale / Duluth,Le Plateau-Mont-Royal,45214
Clark / Rachel,Le Plateau-Mont-Royal,45202
Mackay / de Maisonneuve,Ville-Marie,44986
Clark / Laurier,Le Plateau-Mont-Royal,44293
Ste-Catherine / St-Laurent,Ville-Marie,44194
St-Dominique / Laurier,Le Plateau-Mont-Royal,43771
de la Commune / St-Sulpice,Ville-Marie,43655
Boyer / Beaubien,Rosemont - La Petite-Patrie,43591
St-Dominique / Rachel,Le Plateau-Mont-Royal,43509
du Parc-Lafontaine / Rachel,Le Plateau-Mont-Royal,41597
Peel / Ottawa,Le Sud-Ouest,41036
Duluth / de l'Esplanade,Le Plateau-Mont-Royal,41004
Parc Jean-Drapeau (Chemin Macdonald),Ville-Marie,40345
Roy / St-André,Le Plateau-Mont-Royal,39542
Square St-Louis (du Square St-Louis / Laval),Le Plateau-Mont-Royal,38865
St-Dominique / St-Zotique,Rosemont - La Petite-Patrie,38814
Gilford / St-Denis,Le Plateau-Mont-Royal,38808
Ste-Catherine / St-Mathieu,Ville-Marie,38763
St-André / Ste-Catherine,Ville-Marie,38268
Jeanne-Mance / Laurier,Le Plateau-Mont-Royal,38223
Jeanne-Mance / St-Viateur,Le Plateau-Mont-Royal,38150
Métro Vendôme (de Marlowe / de Maisonneuve),Côte-des-Neiges - Notre-Dame-de-Grâce,37861
Roy / St-Denis,Le Plateau-Mont-Royal,37842
de Brébeuf / du Mont-Royal,Le Plateau-Mont-Royal,37841
Aylmer / Prince-Arthur,Le Plateau-Mont-Royal,37625
Milton / du Parc,Le Plateau-Mont-Royal,37451
Dorion / Ontario,Ville-Marie,37420
Marmier / St-Denis,Rosemont - La Petite-Patrie,36541
de la Montagne / Notre-Dame,Le Sud-Ouest,36315
Aylwin / Ontario,Mercier - Hochelaga-Maisonneuve,36272
Chomedey / de Maisonneuve,Ville-Marie,35903
de la Commune / Berri,Ville-Marie,35710
Clark / St-Viateur,Le Plateau-Mont-Royal,35522
Drolet / Marie-Anne,Le Plateau-Mont-Royal,35338
St-Dominique / Napoléon,Le Plateau-Mont-Royal,34595
de Lanaudière / du Mont-Royal,Le Plateau-Mont-Royal,34416
Métro Jarry (Lajeunesse / Jarry),Villeray—Saint-Michel—Parc-Extension,34345
