station,borough,latitude,longitude
Métro Champ-de-Mars (Viger / Sanguinet),Ville-Marie,45.51025293429709,-73.55677664279938
Métro Place-d'Armes (Viger / St-Urbain),Ville-Marie,45.50631445605528,-73.55967122894072
Émile-Duployé / Sherbrooke,Le Plateau-Mont-Royal,45.52719536319051,-73.5645255446434
Marmier / St-Denis,Rosemont - La Petite-Patrie,45.53102667048665,-73.59862312674522
du Parc-Lafontaine / Rachel,Le Plateau-Mont-Royal,45.52551168509886,-73.57424452900887
Ste-Catherine / St-Clément,Mercier - Hochelaga-Maisonneuve,45.55671730558936,-73.53024959564209
Dorion / Ontario,Ville-Marie,45.526991277453526,-73.55821162462234
Pierre-de-Coubertin / Aird,Mercier - Hochelaga-Maisonneuve,45.55903106539297,-73.54830354452133
Atwater / Sherbrooke,Ville-Marie,45.4912258547597,-73.58763009309769
St-Antoine / Jean-Paul Riopelle,Ville-Marie,45.502939709023714,-73.56064036488532
La Tour de Montréal (Pierre-de-Coubertin / Bennett),Mercier - Hochelaga-Maisonneuve,45.55970526805903,-73.55155438184738
Parc Jeanne-Mance (du Mont-Royal / du Parc),Le Plateau-Mont-Royal,45.51689731423111,-73.58910799026489
Parc Jeanne-Mance (monument sir George-Étienne-Cartier),Le Plateau-Mont-Royal,45.51487490356938,-73.58486406505108
Calixa-Lavallée / Rachel,Le Plateau-Mont-Royal,45.527831544563064,-73.5719096660614
Roy / St-André,Le Plateau-Mont-Royal,45.521564270906616,-73.57036739587784
du Mont-Royal / Clark,Le Plateau-Mont-Royal,45.51941,-73.58685
St-Hubert / du Mont-Royal,Le Plateau-Mont-Royal,45.525710872858475,-73.58128398656845
Clark / de l'Arcade,Le Plateau-Mont-Royal,45.527371996141,-73.60398352146149
Smith / Peel,Le Sud-Ouest,45.49276061084002,-73.55641052126883
Messier / St-Joseph,Le Plateau-Mont-Royal,45.53946063965585,-73.57605636119843
Peel / Notre-Dame,Ville-Marie,45.49544692088696,-73.56329441070557
de la Commune / St-Sulpice,Ville-Marie,45.50424245563397,-73.553469479084
Ste-Catherine / Bishop,Ville-Marie,45.49658063218649,-73.5762146115303
Métro Sherbrooke (de Rigaud / Berri),Le Plateau-Mont-Royal,45.51814312154928,-73.56800436973572
Omer-Lavallée / du Midway,Rosemont - La Petite-Patrie,45.5457759528664,-73.56217458844185
Duke / Nazareth,Ville-Marie,45.49572236030835,-73.55461344122887
William / Robert-Bourassa,Le Sud-Ouest,45.49716534003792,-73.55933010578154
Parc Molson (d'Iberville / Beaubien),Rosemont - La Petite-Patrie,45.54902230455398,-73.59198164194822
Ste-Catherine / Union,Ville-Marie,45.50373771539475,-73.56948494911194
de l'Hôtel-de-Ville / Rachel,Le Plateau-Mont-Royal,45.51989655507833,-73.58010649681091
Métro Parc  (Hutchison / Ogilvy),Villeray—Saint-Michel—Parc-Extension,45.53035130173597,-73.6243924498558
Ontario / Ville-Marie,Mercier - Hochelaga-Maisonneuve,45.56001959585449,-73.534934520776
de Maisonneuve / Aylmer (ouest),Ville-Marie,45.505173440423306,-73.5706517100334
de Bellechasse / de Lanaudière,Rosemont - La Petite-Patrie,45.539306918976,-73.59521873295307
Métro Lionel-Groulx (St-Jacques / Atwater),Le Sud-Ouest,45.48295816149219,-73.57975836854166
15e avenue / Laurier,Rosemont - La Petite-Patrie,45.55331992800521,-73.56932803988457
Jeanne-Mance / René-Lévesque,Ville-Marie,45.5063713381299,-73.5642009973526
Préfontaine / Marcel-Pépin,Rosemont - La Petite-Patrie,45.54365380040509,-73.55942063033581
Lajeunesse / Villeray,Villeray—Saint-Michel—Parc-Extension,45.54218173507584,-73.62268656492233
Complexe Desjardins (St-Urbain / René-Lévesque),Ville-Marie,45.50788520688478,-73.56315059590997
Collège de Rosemont (Beaubien / 15e avenue),Rosemont - La Petite-Patrie,45.55774990838239,-73.58380123972893
Métro Mont-Royal (Utilités publiques / Rivard),Le Plateau-Mont-Royal,45.52423612093815,-73.58155220746994
de Bleury / de Maisonneuve,Ville-Marie,45.50710632433956,-73.56861054897308
René-Lévesque / Papineau,Ville-Marie,45.52097057660443,-73.5499919950962
des Érables / Rachel,Le Plateau-Mont-Royal,45.533313304815366,-73.56671154499054
Lanaudière / Jean-Talon,Villeray—Saint-Michel—Parc-Extension,45.545350334193245,-73.61032962799072
St-Jacques / Vinet,Le Sud-Ouest,45.485328993998365,-73.57692271471024
Frontenac / Ste-Catherine,Ville-Marie,45.53006276144042,-73.54559183120728
