date,station,borough,trip_count,avg_duration_min
2024-01-01,15e avenue / Laurier,Rosemont - La Petite-Patrie,3,19.243461111111113
2024-01-01,6e Avenue / Bélanger,Rosemont - La Petite-Patrie,4,47.70475
2024-01-01,6e avenue / Villeray,Villeray—Saint-Michel—Parc-Extension,2,27.253658333333338
2024-01-01,Atwater / Greene,Le Sud-Ouest,2,4.538291666666666
2024-01-01,Atwater / Sherbrooke,Ville-Marie,4,23.591412499999997
2024-01-01,Aylwin / Ontario,Mercier - Hochelaga-Maisonneuve,14,12.543729761904762
2024-01-01,BAnQ (Berri),Ville-Marie,8,17.2718
2024-01-01,Ball / Bloomfield,Villeray—Saint-Michel—Parc-Extension,1,42.56385
2024-01-01,Bennett / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,9,15.627812962962963
2024-01-01,Berri / Rachel,Le Plateau-Mont-Royal,13,10.956647435897436
2024-01-01,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),Ahuntsic-Cartierville,1,42.82626666666667
2024-01-01,CHSLD Robert Cliche (de Bellechasse / 16e avenue),Rosemont - La Petite-Patrie,3,22.3991
2024-01-01,Calixa-Lavallée / Rachel,Le Plateau-Mont-Royal,10,13.231456666666668
2024-01-01,Cartier / Marie-Anne,Le Plateau-Mont-Royal,17,21.52367843137255
2024-01-01,Cathcart / McGill College,Ville-Marie,3,6.407794444444445
2024-01-01,Chabanel / du Parc,Ahuntsic-Cartierville,2,29.011691666666668
2024-01-01,Cité des Arts du Cirque (Paul Boutet / des Regrattiers),Villeray—Saint-Michel—Parc-Extension,1,20.054816666666667
2024-01-01,Clark / Ontario,Ville-Marie,2,55.65824166666667
2024-01-01,Clark / de l'Arcade,Le Plateau-Mont-Royal,25,18.211826
2024-01-01,Collège de Rosemont (Beaubien / 15e avenue),Rosemont - La Petite-Patrie,6,15.788405555555556
2024-01-01,Complexe Desjardins (St-Urbain / René-Lévesque),Ville-Marie,14,19.216760714285716
2024-01-01,CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),Ville-Marie,3,10.45598888888889
2024-01-01,Dorion / Ontario,Ville-Marie,9,18.42550740740741
2024-01-01,Fabrik8 (Waverly / Jean-Talon),Villeray—Saint-Michel—Parc-Extension,3,17.376327777777778
2024-01-01,Frontenac / Ste-Catherine,Ville-Marie,4,24.107241666666667
