day_of_week,hour,trip_count,avg_duration_min
Monday,0,77896,14.666846362885558
Monday,1,65047,14.881340160960535
Monday,2,53358,14.246689140022738
Monday,3,40984,13.459779759987638
Monday,4,25335,12.989133819485561
Monday,5,14889,14.186460699173887
Monday,6,8914,14.330944433849375
Monday,7,6961,14.694495189867355
Monday,8,4364,13.564461132752827
Monday,9,7861,12.263391913666624
Monday,10,21292,11.435497660310602
Monday,11,59869,12.937183588891301
Monday,12,104277,12.509870851354247
Monday,13,72449,12.2530579278757
Monday,14,59226,13.160434911469062
Monday,15,70639,13.528121818211847
Monday,16,85595,13.29727335475203
Monday,17,88196,13.738835828533416
Monday,18,89215,14.428455567823049
Monday,19,103215,14.416736904842644
Monday,20,140758,14.217468728834833
Monday,21,180152,14.085571819075005
Monday,22,152165,13.753960221141524
Monday,23,119666,13.68847071905693
Tuesday,0,93854,13.611157474552675
Tuesday,1,74895,13.638346192002137
Tuesday,2,54393,13.277708489756648
Tuesday,3,37887,12.934788772314162
Tuesday,4,20671,12.676733052747004
Tuesday,5,10924,13.717964805321616
Tuesday,6,5869,14.121589742715965
Tuesday,7,4219,13.70895369360828
Tuesday,8,3452,13.342158816145231
Tuesday,9,8630,12.315334859018925
Tuesday,10,27783,11.795095343075502
Tuesday,11,84187,13.367938839131932
Tuesday,12,149362,12.929048064210889
Tuesday,13,94315,12.526052707946775
Tuesday,14,67178,13.042809322248354
Tuesday,15,75738,13.28358130154832
Tuesday,16,93213,12.96383272576429
Tuesday,17,91829,13.092882731127059
Tuesday,18,92471,13.82737199987023
Tuesday,19,112879,14.069834900350523
Tuesday,20,167669,14.15370971656458
Tuesday,21,226152,14.105156849891518
Tuesday,22,186496,13.747612047979581
Tuesday,23,137647,13.544041582090419
Wednesday,0,107407,13.402985564100415
Wednesday,1,88864,13.458581172915915
Wednesday,2,65308,13.255477786539679
Wednesday,3,44162,13.023821026749996
Wednesday,4,25169,12.903649329201265
Wednesday,5,12802,13.750814669582876
Wednesday,6,6694,13.914877848321881
Wednesday,7,4701,13.578052995816492
Wednesday,8,3549,13.608569216680754
Wednesday,9,8620,12.328696747873163
Wednesday,10,27546,11.761452774752534
Wednesday,11,81282,13.330486267767363
Wednesday,12,143783,12.884230499433173
Wednesday,13,91302,12.265641992508378
Wednesday,14,66845,12.835223816790085
Wednesday,15,76495,13.002475887095017
Wednesday,16,90499,12.710412405477777
Wednesday,17,87842,12.77017313035526
Wednesday,18,86169,13.346470857655692
Wednesday,19,105973,13.613371875068806
Wednesday,20,152030,13.78605864522353
Wednesday,21,198566,13.670988121246
Wednesday,22,171089,13.41731302538445
Wednesday,23,129787,13.370188493968323
Thursday,0,101314,13.182677505576722
Thursday,1,82190,13.01770309770045
Thursday,2,63452,12.881287987244951
Thursday,3,45663,12.689201686631774
Thursday,4,25902,12.387205367024425
Thursday,5,14634,13.336667066420663
Thursday,6,7983,13.533641705290409
Thursday,7,5643,13.414474856754682
Thursday,8,4113,13.337199760920658
Thursday,9,8265,12.226071740270216
Thursday,10,26350,11.478615129032256
Thursday,11,78837,13.103777162161592
Thursday,12,142499,12.758081126651183
Thursday,13,92935,12.293752157601192
Thursday,14,67062,12.683375598948237
Thursday,15,76542,13.038680188219104
Thursday,16,94431,12.791625680302724
Thursday,17,91953,12.88683007097829
Thursday,18,90626,13.581515017581417
Thursday,19,111789,13.800062322768786
Thursday,20,160706,13.957766900634283
Thursday,21,214460,13.913896540225062
Thursday,22,181086,13.79487712035534
Thursday,23,139693,13.552704864357317
Friday,0,111047,13.479717795017725
Friday,1,92368,14.717263056108898
Friday,2,78326,13.803476192664846
Friday,3,60431,13.319220104471766
Friday,4,37141,12.810338049146047
Friday,5,22970,13.730861128283268
Friday,6,14032,14.17284291262828
Friday,7,10119,13.846340886780643
Friday,8,5551,12.902777541584099
Friday,9,8368,12.338738617351817
Friday,10,23345,11.375299430284858
Friday,11,61233,12.410287262587167
Friday,12,104167,12.13294728768868
Friday,13,81302,12.06680803629267
Friday,14,72111,12.913295575570993
Friday,15,86675,13.296743614267859
Friday,16,106135,13.074735097281765
Friday,17,111057,13.29356066794529
Friday,18,114296,13.995183837433798
Friday,19,131994,14.213427594814917
Friday,20,161202,14.038238880617692
Friday,21,184386,14.063843977398864
Friday,22,167635,14.363183626927551
Friday,23,140142,14.424346671233463
Saturday,0,114681,14.295848404414564
Saturday,1,96082,14.292848294338864
Saturday,2,84841,14.251949931636828
Saturday,3,77858,14.006846894774245
Saturday,4,62912,13.520872989254832
Saturday,5,47699,14.58772070902954
Saturday,6,34254,14.737346555146845
Saturday,7,26438,14.602142112993922
Saturday,8,12099,13.370950391216903
Saturday,9,7774,12.570952055998628
Saturday,10,11329,11.64924777856239
Saturday,11,21559,11.956644190361333
Saturday,12,40830,12.532648667238142
Saturday,13,64298,13.060454639076385
