start_station,end_station,trip_count,avg_duration_min
Parc Jean-Drapeau (Chemin Macdonald),Parc Jean-Drapeau (Chemin Macdonald),11784,37.64237274694501
Métro Mont-Royal (Utilités publiques / Rivard),Marquette / du Mont-Royal,5057,6.911540392854788
Marquette / du Mont-Royal,Métro Mont-Royal (Utilités publiques / Rivard),4710,6.584370820948337
Métro Pie-IX (Pierre-de-Coubertin / Desjardins),Desjardins / Ontario,4593,4.550450660425285
Berri / Cherrier,Émile-Duployé / Sherbrooke,4466,5.774179635020152
Métro Joliette  (Hochelaga / Joliette),Aylwin / Ontario,4217,3.992621306616078
Ste-Catherine / St-Laurent,Ste-Catherine / St-Laurent,3694,21.45183816549359
Desjardins / Ontario,Métro Pie-IX (Pierre-de-Coubertin / Desjardins),3660,4.860843369763206
Dorion / Ontario,Métro Papineau (Dorion / De Maisonneuve),3535,4.915534497878359
du Mont-Royal / Clark,Métro Mont-Royal (Utilités publiques / Rivard),3527,5.221921118041773
Aylwin / Ontario,Métro Joliette  (Hochelaga / Joliette),3350,3.789344870646766
de la Commune / Place Jacques-Cartier,de la Commune / Place Jacques-Cartier,3326,33.274684951894166
Place du Canada (Peel / des Canadiens-de-Montréal),Peel / Ottawa,3183,4.757594062205467
Métro Sherbrooke (de Rigaud / Berri),des Pins / St-Laurent,3154,5.171954243288945
Parc Jean-Drapeau (Chemin Macdonald),Casino de Montréal,3127,15.264707744376931
Métro Papineau (Dorion / De Maisonneuve),Dorion / Ontario,3021,5.69901827761227
du Canal / McLaughlin,du Canal / McLaughlin,3017,32.80856958347144
Métro Joliette  (Hochelaga / Joliette),Place Valois (Valois / Ontario),2911,4.632604671934043
Émile-Duployé / Sherbrooke,Berri / Cherrier,2824,5.07239205618508
Métro Mont-Royal (Utilités publiques / Rivard),Marie-Anne / Papineau,2733,6.567013245517746
Métro Charlevoix (Charlevoix / Centre),Bourgeoys / Favard,2721,6.881746061496998
Marquette / du Mont-Royal,Marquette / du Mont-Royal,2710,17.603714206642064
Ste-Catherine / Union,Ste-Catherine / Union,2688,19.58472457217262
Casino de Montréal,Parc Jean-Drapeau (Chemin Macdonald),2677,16.529889223010834
Métro Lucien-L'Allier (Lucien l'Allier / Argyle),de la Montagne / Notre-Dame,2667,4.343990669916261
Métro Mont-Royal (Utilités publiques / Rivard),Cartier / Marie-Anne,2639,8.047932247063281
Cartier / Marie-Anne,Métro Mont-Royal (Utilités publiques / Rivard),2550,7.863180607843137
Métro Charlevoix (Charlevoix / Centre),Shearer / Centre,2535,4.346863543721236
Métro Pie-IX (Pierre-de-Coubertin / Desjardins),Letourneux / Ste-Catherine,2535,7.454090624589086
Shearer / Centre,Métro Charlevoix (Charlevoix / Centre),2533,4.367594953283327
Métro Lucien-L'Allier (Lucien l'Allier / Argyle),Ottawa / du Séminaire,2531,5.378045192940866
Grand Boulevard / Sherbrooke,Métro Vendôme (de Marlowe / de Maisonneuve),2507,7.540952147320835
Métro Mont-Royal (Utilités publiques / Rivard),Parthenais / du Mont-Royal,2502,9.203765680788702
de Maisonneuve / Fullum,Métro Papineau (Dorion / De Maisonneuve),2484,4.1665123389694045
de la Commune / St-Sulpice,de la Commune / St-Sulpice,2474,35.19497438022096
Métro Mont-Royal (Utilités publiques / Rivard),du Mont-Royal / Clark,2471,6.560246229596655
Métro Mont-Royal (Utilités publiques / Rivard),Métro Mont-Royal (Utilités publiques / Rivard),2465,18.47486208248817
Métro Pie-IX (Pierre-de-Coubertin / Desjardins),Marché Maisonneuve,2447,6.119734021250511
des Pins / St-Laurent,Métro Sherbrooke (de Rigaud / Berri),2437,4.6138441116126385
Guy / Sainte-Catherine,Guy / Sainte-Catherine,2409,18.012289269406395
Bourgeoys / Favard,Métro Charlevoix (Charlevoix / Centre),2388,6.301597354829704
Métro Atwater (Atwater / Ste-Catherine),Métro Atwater (Atwater / Ste-Catherine),2332,19.29716585191538
Métro Mont-Royal (Utilités publiques / Rivard),St-Dominique / Rachel,2302,5.566861395887634
de la Commune / King,de la Commune / Place Jacques-Cartier,2210,12.903217428355958
Berri / Laurier,Laurier / de Brébeuf,2210,3.135054155354449
Métro Mont-Royal (Utilités publiques / Rivard),Messier / du Mont-Royal,2202,9.731250052982135
Laurier / St-Denis,Laurier / de Brébeuf,2187,3.957593552812072
de Lanaudière / du Mont-Royal,Métro Mont-Royal (Utilités publiques / Rivard),2167,5.814382487309644
Marie-Anne / Papineau,Métro Mont-Royal (Utilités publiques / Rivard),2152,6.632684192998761
Parthenais / du Mont-Royal,Métro Mont-Royal (Utilités publiques / Rivard),2144,8.775071183146766
Métro Vendôme (de Marlowe / de Maisonneuve),Grand Boulevard / Sherbrooke,2140,8.990227157320872
Métro Pie-IX (Pierre-de-Coubertin / Desjardins),Bennett / Ste-Catherine,2129,8.235030992641303
Laurier / St-Denis,St-Dominique / Laurier,2105,3.330855003958828
Métro Papineau (Dorion / De Maisonneuve),de Maisonneuve / Fullum,2099,4.059657432110528
Métro Mont-Royal (Utilités publiques / Rivard),du Parc-Lafontaine / Rachel,2096,6.027399626272264
Clark / Prince-Arthur,Aylmer / Prince-Arthur,2083,4.0381090014402305
Métro Mont-Royal (Utilités publiques / Rivard),Marie-Anne / de la Roche,2083,4.183059545527285
Marie-Anne / de la Roche,Métro Mont-Royal (Utilités publiques / Rivard),2082,3.9036841658661543
Laurier / de Brébeuf,Laurier / St-Denis,2072,4.627428008365508
Métro Viau (Pierre-de-Coubertin / Viau),Ste-Catherine / St-Clément,2055,7.014600243309003
Wellington / 3e avenue,Wellington / Gordon,2051,4.47632301316431
Émile-Duployé / Sherbrooke,Marquette / du Mont-Royal,2032,5.476913164370079
Letourneux / Ste-Catherine,Métro Pie-IX (Pierre-de-Coubertin / Desjardins),2013,8.025916815697963
Marquette / du Mont-Royal,Boyer / du Mont-Royal,2008,4.741309130146083
Ryde / Charlevoix,Métro Charlevoix (Charlevoix / Centre),2007,3.00077285334662
Métro Mont-Royal (Utilités publiques / Rivard),de Lanaudière / du Mont-Royal,2007,6.065088888888889
Métro Mont-Royal (Utilités publiques / Rivard),Fullum / Marie-Anne,2004,9.989471665003324
Métro Papineau (Dorion / De Maisonneuve),St-André / Ste-Catherine,2000,6.705527041666667
Parc Jean-Drapeau (Chemin Macdonald),Parc Plage,1995,20.853014937343357
Place Valois (Valois / Ontario),Métro Joliette  (Hochelaga / Joliette),1982,4.606620013454423
Métro Villa-Maria (de Monkland / Décarie),de Hampton / de Monkland,1978,5.136027485675767
St-André / Ste-Catherine,Métro Papineau (Dorion / De Maisonneuve),1978,6.885047775530839
Peel / Ottawa,Place du Canada (Peel / des Canadiens-de-Montréal),1964,6.017276782077393
Beatty / de Verdun,Métro Verdun (Willibrord / de Verdun),1962,5.296722697927285
Métro Joliette  (Hochelaga / Joliette),Valois / Ste-Catherine,1944,6.384377914951989
Marché Maisonneuve,Métro Pie-IX (Pierre-de-Coubertin / Desjardins),1938,6.156920966632266
Métro Mont-Royal (Utilités publiques / Rivard),Chabot / du Mont-Royal,1917,8.57849009737437
Bennett / Ste-Catherine,Pierre-de-Coubertin / Aird,1915,7.442586135770235
Parc Plage,Parc Jean-Drapeau (Chemin Macdonald),1914,19.950417807384188
de Grosbois / Duchesneau,Métro Honoré-Beaugrand (Sherbrooke / Honoré-Beaugrand),1910,7.271022870855148
Smith / Peel,de la Commune / Place Jacques-Cartier,1890,13.53897704585538
Place du Canada (Peel / des Canadiens-de-Montréal),Smith / Peel,1886,6.6536048427006005
Laurier / St-Denis,Jeanne-Mance / Laurier,1878,5.647837273695421
Marquette / du Mont-Royal,Émile-Duployé / Sherbrooke,1876,5.465730845771144
Métro Mont-Royal (Utilités publiques / Rivard),de Brébeuf / du Mont-Royal,1871,5.525041662212721
Métro Charlevoix (Charlevoix / Centre),Fortune / Wellington,1862,6.554623711063373
Messier / du Mont-Royal,Métro Mont-Royal (Utilités publiques / Rivard),1860,9.390378915770608
de la Commune / St-Sulpice,de la Commune / Place Jacques-Cartier,1854,27.819348094210717
